numunitid,obsval,source_code_description,description
11686,1,,37.5g/week
24823,1,,"Unsure, son's info"
19856,1,,\meddata\s6000\document\Apollo\2009\JAN\67348.TIF|
2877,1,,3022142
12371,1,,/26 fluency
28338,1,billion per liter,10/9 l(8.38%)
15925,1,,\meddata\s6000\document\Apollo\2008\AUG\25967.TIF|
15455,1,,FSID
22784,1,,cans a night
19669,1,,\meddata\s6000\document\Apollo\2004\MAY\5016.TIF|5
19573,1,,\meddata\s6000\document\Apollo\2004\JAN\3209.TIF|3
22807,1,,oz.week
14592,1,,ounce / week
19782,1,,\meddata\s6000\document\Apollo\2005\FEB\9612.TIF|9
21491,1,,yeasr
21957,1,,2 cigars per week
28615,1,,times per day min
18200,1,,0.70
28804,1,,- 15 U/week
14362,1,,Cigarret/day
26562,1,,CA12-5
21606,1,,pint/2 weeks
23780,1,,3.85
11058,1,,MONTHIY
29078,1,,times in 14 days
14264,1,,\meddata\s6000\document\Apollo\2011\JUL\SCAN5903.T
16157,1,,week + 2
16799,1,,m U /L
17374,1,,[fL]
10912,1,,1698
3197,1,,mg/24hr...
17707,1,billion per liter,10/9 l(.463)
25365,1,,TCI  not urgent
21381,1,,\meddata\s6000\document\Apollo\2010\JUN\183286.TIF
29209,1,,2/4 x a month
28479,1,,41112
20498,1,,+ug/L
15800,1,,grams tobacco
20376,1,,dege F
17978,1,,very rare
24954,1,,/cannabis joint day
13536,1,,+ times before Xmas
19693,1,,\meddata\s6000\document\Apollo\2004\NOV\7809.TIF|7
2568,1,,x7
24074,1,,exp = 7.36 - 13.86
28205,1,,pmoi/l
20990,1,,smoke a day
24312,1,,6mg/100ml
28937,1,,umol/L (H)
12066,1,,mg/mmolHI
24155,1,,9/36
9490,1,score,/27 PHQ9
5365,1,,1549
27132,1,,U/wee35k
17918,1,,126/71
28374,1,,Sisha per day
13917,1,,nm/L per 24hrs
25871,1,,no atpical cells
11837,1,,hours post lithium d
13815,1,,19.1
12368,1,,/14 language
6638,1,,times/week x2
11670,1,,(150-700)
12207,1,,on weekend
23004,1,,unit/weeks
28362,1,,one ounze
17500,1,,Rx.
11731,1,,SQM
15459,1,,occassional 1/12
24485,1,,\meddata\s6000\document\Apollo\2011\MAR\225646.TIF
20723,1,,30g per week
14707,1,,U/every 3month
19623,1,,\meddata\s6000\document\Apollo\2004\JUN\5469.TIF|5
24850,1,,2.36
11036,1,,2times
23479,1,,2mg/3mg alt day
19746,1,,\meddata\s6000\document\Apollo\2004\SEP\7133.TIF|7
27539,1,,/9 Per Week
21660,1,,/grams.per.week
21148,1,,ng/declilitre
21326,1,,ng-L
17703,1,heartbeat,beats/min85
6349,1,percent,76%
23921,1,,11.5-16
14807,1,,1-7 Units a week
14184,1,,no. of sperm
24073,1,,exp = 7.0 - 30.0
15720,1,,100g/wk
14193,1,billion per liter,48x10^9/L
25056,1,,continue 6/7mg
22516,1,,x week
25328,1,,miles better
18835,1,,May
27383,1,,in the past 6-8 week
19273,1,,IU/g.Hb
18253,1,,1753
24304,1,heartbeat,beats/min78
14225,1,,\meddata\s6000\document\Apollo\2012\JAN\SCAN9216.T
21087,1,billion per liter,10/9 l(.324%)
27525,1,billion per liter,10/9 l(.966)
20834,1,,10/25
23646,1,,1206
17865,1,,lklkjlkjlkj
2735,1,,socially when drunk
5685,1,,2 Ladies 1aweek
28248,1,,bottle at/weekend
11088,1,,Blast cells present
28297,1,,ppm0.1
28423,1,billion per liter,10/9 l(.921%)
19027,1,,beats70/min
20178,1,,gd/
18819,1,,0/10
24000,1,,exp = 1 - 17
14275,1,,\meddata\s6000\document\Apollo\2010\DEC\MERG8685.T
25925,1,,WBC 10.66
26295,1,,\meddata\s6000\document\Apollo\2011\AUG\234287.TIF
15286,1,,as necessary
25125,1,,very borderline
17539,1,,/2days
14292,1,,\meddata\s6000\document\Apollo\2011\APR\SCAN4980.T
11675,1,,(30 - 110)
25642,1,,WBC 10.32
26505,1,,\meddata\s6000\document\Apollo\2006\FEB\1276.TIF|1
24655,1,,litres week
26946,1,,stable 5/4 alt days
27238,1,,50g/ 7 weeks
22547,1,,TRIG 1.91 TSH 2.30
19824,1,,\meddata\s6000\document\Apollo\2005\MAY\10989.TIF|
14333,1,,CPM risk score
21578,1,,"/9, sub-score"
11013,1,,IWOTCH
16222,1,,L gin/week
25294,1,,\meddata\s6000\document\Apollo\2013\FEB\303462.TIF
14349,1,,shisha/week
28013,1,,- 80 /day
25555,1,,\meddata\s6000\document\Apollo\2012\FEB\259985.TIF
28593,1,,/gramsperweek
25798,1,,\meddata\s6000\document\Apollo\2008\MAY\87514.TIF|
24444,1,,\meddata\s6000\document\Apollo\2008\OCT\216317.AHF
20116,1,,micro/litre
14877,1,billion per liter,x10^9/l(35.0%)
16335,1,,litre a day
19280,1,,4.60
27048,1,,WBC 6.1
9400,1,,nmol/L @ 30 min
17168,1,,da\ys
11230,1,,2 or 3 times a year
27444,1,,2-4 month
16571,1,,months approx.
21441,1,,35mL/min
20970,1,billion per liter,10/9 l(5.87%)
24911,1,,L/min230
19557,1,,\meddata\s6000\document\Apollo\2004\FEB\3834.TIF|3
8831,1,,ppm 0
18974,1,,Glasses of wine day
12363,1,,1/3 to 1/2 bottle
9678,1,,12/2017
18604,1,,weeks + 1 day
9136,1,,cartridge/week
27130,1,,ng/mLo
22813,1,,(0.27 - 4.20) mU/L
24884,1,,quantity unknown.
24204,1,,RATULS
13022,1,,winter time
27588,1,percent,= 79%  of predicted
27477,1,billion per liter,10/9 l(68.8%)
3489,1,,Plasma viscosity low
27641,1,,\meddata\s6000\document\Apollo\2010\JAN\SCAN7592.A
23232,1,,10*9 gl
26045,1,,\meddata\s6000\document\Apollo\2011\MAY\MERG3420.T
10847,1,,times/ 3 weeks
18526,1,,pt/daily
10290,1,gram,75 grams
6423,1,,times / fortnight
13851,1,,167.5 / 85
13962,1,,Lg/L(35-53)
11302,1,,6.25
27107,1,percent,% in 10 yrs
20586,1,,nmol/mol(creat)
17361,1,,uk/day
28960,1,billion per liter,x10^9/l(45.3%)
15487,1,,in a while
14119,1,,Immunology test
25436,1,,WBC 3.88
12521,1,,pints per day @
28512,1,,grade 3
28405,1,,g/w10
19405,1,,\meddata\s6000\document\Apollo\2003\NOV\2391.TIF|2
15685,1,,centimetre
21132,1,,10-50 IU/L
25065,1,,from ACD tube
9712,1,,8105
5112,1,,2820
27265,1,,3x a week
22978,1,,[140--360]
16537,1,,Specific Gravity
24463,1,,\meddata\s6000\document\Apollo\2010\DEC\211594.TIF
15331,1,,every so often
3336,1,,Social/
21393,1,,/anually
14720,1,,x10E12
26531,1,,\meddata\s6000\document\Apollo\2009\FEB\123634.TIF
26996,1,,WBC 12.85
16285,1,,week +6 days
13362,1,,\meddata\s6000\document\Apollo\2007\DEC\82579.AHF|
21275,1,,months/year
22321,1,,2/3 days
26922,1,,low - WBC 10.08
11791,1,percent,%84
19376,1,,\meddata\s6000\document\Apollo\2003\JUL\455.TIF|45
6922,1,,1694
23741,1,,umol/molHe
13421,1,millimole per liter,0.99 mmol/L
15440,1,,\meddata\s6000\document\Apollo\2011\9\Document 160
8676,1,billion per liter,10/9 l(6.70%)
22969,1,,[ <5.0 ]
4005,1,,IFCCmmol/mol<41
28216,1,,50893
11439,1,,2.84
20335,1,,litre/s
2911,1,,20times/week
3423,1,,cigarettes per week.
14309,1,,\meddata\s6000\document\Apollo\2010\APR\SCAN6901.T
28373,1,,a1c
24647,1,,700/day
20901,1,,not answred
28873,1,,times/occasion
17821,1,,140u
23576,1,,5/5/6MG ALT DAYS
13138,1,,H mg/mmol
27978,1,,/11/2021
17441,1,,Urine steroid profile
11826,1,,3/27
28287,1,percent,litre (50%)
17336,1,billion per liter,73x10^9/L
26968,1,,WBC 10.34
29233,1,,- 5 /week
2090,1,,-----
25363,1,,stable stay 7 mg
14055,1,,9/28
26857,1,,\meddata\s6000\document\Apollo\2006\OCT\SCAN2229.T
16487,1,,0.8-2.0
19832,1,,\meddata\s6000\document\Apollo\2006\DEC\36006.TIF|
21427,1,,mcgl/ml
17037,1,millimole per liter,6.01mmol/L
5509,1,,1487
18484,1,,40+/day
16574,1,,\meddata\s6000\document\Apollo\2013\1\Document 916
12709,1,,wheeze
28454,1,,*10^6/ cu mm
20310,1,,tympanic
12159,1,,pweek
14185,1,billion per liter,15x10^9/L
13576,1,,Complement test NOS
21344,1,,9.6 U/week
19015,1,,no. days
16629,1,,Thickened
15472,1,,cm per year
25574,1,,but WBC 35.08 High
17980,1,,1 at weekend
21553,1,,11 - 20 per day
20628,1,billion per liter,10/9 l(28.4%)
28598,1,,/packs/week
21559,1,,cans of beers a days
6311,1,,CPMS ID CHILD PARENT
24455,1,,\meddata\s6000\document\Apollo\2009\OCT\159871.TIF
7917,1,percent,5.5%
20857,1,,times/day.
19064,1,,40699
26370,1,,should be better
15317,1,,not always weekly
21058,1,,over 3 day period
18341,1,,20-39 /day
23317,1,,1mg/2mg/2mg
3980,1,,/12 (0 as pregnant)
6347,1,,10/21
26296,1,,\meddata\s6000\document\Apollo\2011\JAN\209479.TIF
28212,1,,times/month 1
19451,1,,\meddata\s6000\document\Apollo\2003\SEP\1343.TIF|1
29082,1,billion per liter,10/9 l(47.9%)
20230,1,,daysw
29054,1,,years- recent worse
28882,1,billion per liter,10/9 l(29.5%)
21998,1,,to 30 U/week
17955,1,,urea & electrolytes
11247,1,,008086
5660,1,,2238
13228,1,,ng/m
24108,1,,ugt/
6661,1,,/29 (unable to draw)
27675,1,,\meddata\s6000\document\Apollo\2010\FEB\SCAN1860.T
24836,1,,\meddata\s6000\document\Apollo\2010\JUN\182696.TIF
17121,1,,times/3monts
17646,1,,R475-PN-1523
25560,1,,\meddata\s6000\document\Apollo\2013\JAN\301533.TIF
18960,1,,mmoll/
19552,1,,\meddata\s6000\document\Apollo\2004\FEB\3765.TIF|3
25134,1,,WBC 10.54
11358,1,,1/9 day
15895,1,,POSITIV
21923,1,billion per liter,10/9 l(7.25%)
24633,1,,micromoll/L
24299,1,,g/spec.
24359,1,,oz/week5
21991,1,,VLA
5338,1,,1522
29303,1,,microgram/g (May 23)
21685,1,,13/20
11735,1,,35.5
16765,1,billion per liter,10/9 l(.164%)
18689,1,,5/7
16151,1,,4.3mmol/mol
24988,1,billion per liter,10/9 l(8.76%)
21949,1,,15/1
12571,1,,legs
20482,1,,27/10/16
5212,1,,1732
23776,1,,Plasma AST level
28168,1,,nights.
16198,1,,\meddata\s6000\document\Apollo\2007\OCT\26348.TIF|
19338,1,,\meddata\s6000\document\Apollo\2003\DEC\2698.TIF|2
21397,1,,u/10days
28499,1,,mg/24
16203,1,,L/minm
10807,1,,U/today so far at 10
15406,1,heartbeat,beats/min. REG
20109,1,,beers per/month
19076,1,,\meddata\s6000\document\Apollo\2006\OCT\127214.AHF
11767,1,percent,%119
19377,1,,\meddata\s6000\document\Apollo\2003\JUL\460.TIF|46
14392,1,,9 -3
27254,1,,vape / month
15655,1,billion per liter,10/9 l(21.8%)
21679,1,,1-/day
21701,1,,micromols/litre
20726,1,,3.04
27706,1,,\meddata\s6000\document\Apollo\2011\NOV\SCAN8208.T
23133,1,billion per liter,10/9 l(6.72%)
20405,1,,27.6
26808,1,,WVC 10.54
26662,1,,WBC 12.09
26868,1,,\meddata\s6000\document\Apollo\2008\FEB\SCAN7815.T
10091,1,,Pipe: 2/day for 70
18953,1,,x2-3 day or if sympt
14444,1,,- 1.31
24925,1,,cannabis cost daily
16750,1,,glasess/week
23071,1,,umol/l **
4333,1,,degrees fareheiht
20967,1,billion per liter,10/9 l(.716%)
29210,1,,2 - 4 times a month
28260,1,,tins a/day
7176,1,,adults
26008,1,,!!
22511,1,,unit=*
23055,1,millimole per liter,mmol/l  raised
20314,1,,times//day
29305,1,,/ few months
8883,1,,smal bt/whis/week
24678,1,,8/weeks
16215,1,,mool/
15809,1,,20-30/day
15817,1,,fahren
19010,1,,March
13200,1,,match days
22588,1,,ml nicotine/day
14595,1,billion per liter,10/9 l(.391%)
26344,1,,mildly overtreated
27474,1,,micrograml/L
22710,1,,/fortinghtly
21181,1,,st/lbs
6665,1,,35 per week
15606,1,billion per liter,10/9 l(51.7)
20564,1,,nmols/s
18872,1,,bottle wine a day
14291,1,,\meddata\s6000\document\Apollo\2012\APR\SCAN1522.T
21069,1,,6.7fL
18077,1,,Mean cell volume
28568,1,,g/48hrs
27350,1,,miniute
26596,1,,noc change
19865,1,,\meddata\s6000\document\Apollo\2010\OCT\97578.TIF|
26921,1,,low  WBC 7.41
19949,1,,g/ 3 week
9219,1,,occasional .
26425,1,,WBC 14.44
29129,1,,g/1.5 week
28820,1,percent,144%
14042,1,,1.03
3260,1,,0 - 243
19524,1,,\meddata\s6000\document\Apollo\2004\DEC\8337.TIF|8
27778,1,,IRAS Project Number
14201,1,,pints real ale/day
13760,1,,9.8
26873,1,,\meddata\s6000\document\Apollo\2008\OCT\106924.TIF
2013,1,,3 hrs pp
27504,1,,weeks - flare
27846,1,billion per liter,x10^9/l(37.6%)
28439,1,,est
12454,1,,/1.5 bottle wine/day
22872,1,,(0.36 - 0.47)
19148,1,,times/bi weekly
26892,1,,\meddata\s6000\document\Apollo\2011\MAY\222648.TIF
13657,1,heartbeat,beats/min irreg.
15765,1,,7.11
28926,1,,-cm
27260,1,,pound/week
5776,1,billion per liter,10/9 l(6.11%)
18557,1,,bottle wine/per week
28578,1,,50g x 1.5 week
27955,1,,g tobacco a week
25827,1,,\meddata\s6000\document\Apollo\2011\JAN\210101.TIF
10025,1,,15g per average week
15828,1,,child
28763,1,,gr-dl
23331,1,,4mgs
19324,1,,\meddata\s6000\document\Apollo\2003\AUG\931.TIF|93
23582,1,,6.5mg/7mg alt days
28571,1,,/gram's
21853,1,,U/9week
23732,1,,1357
8999,1,,/week6
20542,1,,4-8
24141,1,,mm/hou
28762,1,,Patient ID: 150643
11147,1,,time/wk
7926,1,,4-6 a day
21968,1,,g/weekend
22905,1,,129/73
16692,1,,strong lagers/day
21336,1,,since this week
21932,1,,14 times/ week
11350,1,,/day24/03/16
18946,1,,60 mL/min
13077,1,,times/12/12
28942,1,,times/rarely
28388,1,,L/min460
15973,1,,SMU
24287,1,,Sternal bone marrow
10023,1,,40/minute
17708,1,billion per liter,10/9 l(.573%)
2077,1,,^1/2mg alt days
3854,1,,times/ay
23192,1,,mg/FEU
25796,1,,\meddata\s6000\document\Apollo\2008\JUL\96334.TIF|
22168,1,heartbeat,60bpm
7735,1,,7-10 cigarettes / da
26089,1,,POSITIVE (Microsomal
15908,1,,\meddata\s6000\document\Apollo\2005\FEB\5974.TIF|5
14317,1,,\meddata\s6000\document\Apollo\2010\JAN\MERG6300.T
15132,1,,15 / day
23106,1,,ug Hb/b
21489,1,,530 222and 520 11.28
24542,1,,\meddata\s6000\document\Apollo\2012\MAR\270865.TIF
22007,1,,/22 A day
19963,1,,/ g a week
19576,1,,\meddata\s6000\document\Apollo\2004\JAN\3254.TIF|3
28691,1,billion per liter,10/9 l(9.66%)
19446,1,,\meddata\s6000\document\Apollo\2003\SEP\1262.TIF|1
17937,1,,times/6 week
17519,1,,times over 6 month
22886,1,,micm/L
20135,1,,Shaper Score
25994,1,,WBC 31.80
11928,1,,39 WEEKS + 5 DAYS
16689,1,,mu/.L(0.5-4.7)
26069,1,,continue 5 mg
23272,1,,\meddata\s6000\document\Apollo\2008\FEB\93442.TIF|
28858,1,,/month or less
22127,1,millimole per liter,mmmoll/L
26351,1,,not quite good enoug
21387,1,,times/24hrs
25872,1,,no real change
15292,1,,ng dl
7924,1,,packets/ year
23733,1,,1361
12429,1,,2days
9779,1,,U/week 21
16130,1,,\meddata\s6000\document\Apollo\2010\MAY\181141.TIF
19689,1,,\meddata\s6000\document\Apollo\2004\NOV\7749.TIF|7
28869,1,,rolls-up a day
18009,1,,Uric acid cryst.-urine
21051,1,,on ocassion
15909,1,,\meddata\s6000\document\Apollo\2009\MAR\28989.TIF|
19904,1,,nanomoles /L
28105,1,billion per liter,x10^9/L(2.0-7.7)
24501,1,,\meddata\s6000\document\Apollo\2012\AUG\288706.TIF
18558,1,,bottles wine at week
9224,1,,mmoi/mol
8031,1,,"not every day,"
13080,1,billion per liter,10/9 l(.631%)
12379,1,,wine/day
4957,1,,3083
27197,1,,U/4+times per week
11482,1,,0.1 - 5.0
28432,1,,Mod severe
16505,1,,micrometer
9249,1,,25oz/week
22187,1,,Hip T
20343,1,,since nov
14375,1,,Trop Pallidum partic
29104,1,percent,% 2.05x10
28732,1,,past 4 months
16152,1,,0k
3054,1,,/min(reg)
10400,1,,Plasma homocysteine level
25121,1,,teeth
10487,1,,Urine lactose
24692,1,,/4 times a day
15641,1,billion per liter,10/9 l(.903%)
23761,1,,2118
20161,1,,days blood in pooh
19409,1,,\meddata\s6000\document\Apollo\2003\NOV\2499.TIF|2
22285,1,,27 childs test
20019,1,,Gramms per week
15549,1,,<1U/week
26626,1,,to 1.5 mg
11354,1,,five
29208,1,,2/3 times per week
29249,1,,fareinheit
20928,1,,this week only
22845,1,percent,litre119%
28695,1,,/e- cigarette day
9689,1,,litres/ min
20309,1,,Falls last year
17908,1,,mmlo
28495,1,,x10*12/1
17770,1,billion per liter,10/9 l(1.86%)
19452,1,,\meddata\s6000\document\Apollo\2003\SEP\1367.TIF|1
21157,1,,/100 Wbc <1.0
8727,1,,pulse/minute
17649,1,,within last 90 days
17632,1,,"times, day"
27497,1,,weeks worsening
16766,1,billion per liter,10/9 l(.380)
21673,1,billion per liter,10/9 l(41.3%)
22713,1,,KU/L <6.7
5635,1,,2139
28126,1,billion per liter,10/9 l(21.7%)
16446,1,,mL/ml
27667,1,,\meddata\s6000\document\Apollo\2007\NOV\68123.TIF|
17444,1,,Serum phenylalanine raised
18517,1,,packs p/day
23799,1,,\27
21699,1,millimole per liter,10mmol/L
18309,1,,hrs pre collection
16655,1,,glc
14535,1,,year plus
8793,1,,monht
29217,1,,farenheoght
28962,1,billion per liter,x10^9/l(2.5%
16150,1,,Healthy Lung Proj
23010,1,percent,%  *
29276,1,,U/2-3 times per wk
24784,1,,50  g/week
17704,1,billion per liter,10/9 l(.062%)
21212,1,,360177
28772,1,,weeks- (recent event
16575,1,,cartridge every 3-4/
20323,1,,20 cigaretts a day
27354,1,,Not answered
21008,1,billion per liter,10/9 l(.754%)
21985,1,,2l
11755,1,,times day/night
17350,1,,less than one a day
27210,1,,gram a week
17942,1,,pmol/ng
8918,1,,beers per day
4340,1,,U/29
23801,1,,\meddata\s6000\document\Apollo\2010\6\Document 176
12416,1,,L daily of cider
23546,1,,Dose 7mg/8mg ALT
15630,1,billion per liter,10/9 l(60.2%)
3782,1,,/6day
18160,1,,unable to state num
28161,1,,weeks seeing PN
28076,1,,Patient refused haemat. test
7359,1,,ce
14116,1,,MRF u ml
27025,1,,WBC 3.73
16994,1,,Faecal tryptic activity normal
27283,1,,Alarm set at 3.9 mmo
6073,1,,Colon neoplasm screen
19686,1,,\meddata\s6000\document\Apollo\2004\NOV\7696.TIF|7
10883,1,,1188
18893,1,,\meddata\s6000\document\Apollo\2009\AUG\255749.AHF
22834,1,percent,32%
27221,1,,/w/end
26544,1,,\meddata\s6000\document\Apollo\2011\DEC\SCAN7972.T
19664,1,,\meddata\s6000\document\Apollo\2004\MAY\4960.TIF|4
28841,1,,-9/day
23939,1,,215 - 435
16990,1,,Deteriorating renal function
23225,1,percent,mL/min/mmHg/L (73%)
26266,1,,\meddata\s6000\document\Apollo\2008\APR\SCAN2540.T
25263,1,,\meddata\s6000\document\Apollo\2006\SEP\21151.TIF|
28286,1,,/20 minute
24260,1,,5 times a week
27629,1,,60 units
28468,1,,7*9 cells/L4-11
14156,1,,1916F1762
8226,1,,\meddata\s6000\document\Apollo\2011\JUN\159204.TIF
17365,1,,nnmol/l neg
22125,1,,times/week  5
22863,1,,patient ID number
18608,1,,1011
27371,1,,ÂµU/mL
20002,1,,indefinuite
28256,1,,pnts/week
14204,1,,U/week56
10131,1,,Pipe: 3/day for 3
24172,1,,kg#
18890,1,,un- known
22289,1,,5 weeks
17889,1,,grams/weeks
28209,1,,r#Â¿ H#Â¿ #Â¿#Â¿
23130,1,billion per liter,10/9 l(.522%)
26630,1,,up to 3mg - rept 2wk
16008,1,,h diu/L
22179,1,,-per wk
25631,1,,trimethoprim
24166,1,,mmo0l/l
21492,1,,- 4 Bacardi/day
22654,1,billion per liter,10/9 l(1.32)
27117,1,,2 / weekly
6418,1,billion per liter,10/9 l(43.7%)
20414,1,,mol/t
18614,1,,1100
18491,1,,U/week17
24877,1,,mm/1st H
8726,1,,times in last 3 week
23146,1,,GAPS
23188,1,percent,>/=%
26595,1,,no dose change
28566,1,,1glassofcherrydaily
14020,1,kilogram per square meter,18.7kg/m2
21388,1,,e-cigarettes
28414,1,,8 units per week.
12294,1,billion per liter,10/9 l(.514%)
4458,1,,time/ 4 weeks
24490,1,,\meddata\s6000\document\Apollo\2011\SEP\245859.TIF
23551,1,,stop 2days then3/4mg
18992,1,,210 L/min
17938,1,,times/for 6 months
25332,1,,noprmal
25292,1,,\meddata\s6000\document\Apollo\2012\FEB\258316.TIF
6607,1,,kIY/L
18591,1,,total audit
11500,1,,(normal < 4)
21522,1,,pints/ month
27656,1,,\meddata\s6000\document\Apollo\2009\FEB\99556.TIF|
28103,1,,1 in April 2016
26938,1,,same dose 3.5
15887,1,,2D[ WT67K
5438,1,,2060
17580,1,,less than /week
6649,1,,million/mlmillion/ml
15488,1,,amol/L
19863,1,,\meddata\s6000\document\Apollo\2010\MAR\85472.TIF|
15782,1,,doesnt know
2770,1,,times/week 6
15303,1,,\meddata\s6000\document\Apollo\2011\7\Document 686
28149,1,,ugHb/ Stl
11729,1,,(<4.5)
19383,1,,\meddata\s6000\document\Apollo\2003\JUL\545.TIF|54
6301,1,,mmol/p
20173,1,,0.4-6.0
22842,1,percent,litre 90%
21599,1,,works flexible hours
18757,1,,with infection
21219,1,,monthly / as require
22523,1,,Units of RBC
25059,1,,discuss when in
23058,1,,mOderate depression
17477,1,,treponema pallidum
18308,1,,28.0
13495,1,,+ day
25956,1,,WBC 14.94
14284,1,,\meddata\s6000\document\Apollo\2008\JAN\2008011616
22778,1,,times/day#
24840,1,,in one day once a wk
24499,1,,\meddata\s6000\document\Apollo\2012\APR\274400.TIF
27219,1,,every evening
25806,1,,\meddata\s6000\document\Apollo\2009\JAN\115170.TIF
28411,1,,7 units per year
28448,1,,week/none somedays
20270,1,,some of the time
25258,1,,\meddata\s6000\document\Apollo\2006\APR\5886.TIF|5
19823,1,,\meddata\s6000\document\Apollo\2005\MAY\10975.TIF|
11624,1,,(200-950)
21199,1,millimole per liter,1.5 mmol/L
18788,1,,roll/per day
23091,1,millimeter per hour,mm/.hr
9832,1,,L/min580
24437,1,,\meddata\s6000\document\Apollo\2008\DEC\127961.TIF
27521,1,,falls +++
26558,1,,Alt 2/3mg - spoken
27776,1,,/28 (0=normal)
16635,1,,B. pertussis antibody level
21127,1,,week of roll ups
28810,1,,- 4 /day
5781,1,billion per liter,10/9 l(6.66%)
9773,1,,1gm every 2 weeks
23943,1,,3-17
17107,1,,/5year
20641,1,,glass gin/week
18362,1,,hourday
21250,1,,kg tabacco
19822,1,,\meddata\s6000\document\Apollo\2005\MAR\9976.TIF|9
11578,1,,dose 5.5mg
19402,1,,\meddata\s6000\document\Apollo\2003\NOV\2359.TIF|2
5384,1,,3016
20303,1,,U/week-12
20958,1,,cig/weekly
24259,1,billion per liter,10/9 l(70.6%)
26061,1,,borderline alk phos
15577,1,,microgr
25700,1,,WBC 3.15
15468,1,,\meddata\s6000\document\Apollo\2007\DEC\SCAN0858.T
17529,1,,occasionalyy
17188,1,,"days, worse"
18797,1,,/20 years
18695,1,percent,5% Cider
23751,1,,1499
18997,1,,70mg/l
27004,1,,WBC 14.31
25832,1,,\meddata\s6000\document\Apollo\2012\MAR\260605.TIF
27326,1,,a few weeks
24096,1,,exp=7.0-30.0
29177,1,,roll ups.
27930,1,billion per liter,x10^9/l(75.2%)
13143,1,percent,= 78 % of predicted
29000,1,,1160
15643,1,billion per liter,10/9 l(24.9%)
14416,1,,9-1
17073,1,billion per liter,10/9 l(27.6%)
19834,1,,\meddata\s6000\document\Apollo\2006\JUN\28219.TIF|
19234,1,,125 grms
17989,1,,social smoker/weekly
21543,1,,monthly of less
24964,1,,week1
28465,1,,10*122
20806,1,,ever
17811,1,,0-5/day
15254,1,,mcmcol/L
26581,1,,increase 6 mg
19765,1,,\meddata\s6000\document\Apollo\2005\AUG\17453.TIF|
14512,1,,UNITS WEEK
9225,1,,pouch/ week
19528,1,,\meddata\s6000\document\Apollo\2004\DEC\8401.TIF|8
29254,1,,AU/M..
24427,1,,\meddata\s6000\document\Apollo\2006\JUL\SCAN2131.T
15215,1,percent,%10 year risk
24984,1,,times in past week
28713,1,,gram daily
13430,1,,mg/per week
11525,1,,good control up to
24089,1,,exp= 180 - 800
17575,1,,90 WK
22884,1,,umol/L range 44-97
19431,1,,\meddata\s6000\document\Apollo\2003\OCT\1971.TIF|1
24522,1,,\meddata\s6000\document\Apollo\2012\JAN\262750.TIF
28436,1,,21-28
14434,1,,Female sex hormones NOS
21990,1,,0.27 - 4.20
20254,1,billion per liter,x10^9/l(49.6%)
23042,1,,miu/L*
16713,1,,\meddata\s6000\document\Apollo\2012\8\Document 848
27987,1,,"/day , Not every day"
24726,1,,/yearly pack
19502,1,,\meddata\s6000\document\Apollo\2004\AUG\6586.TIF|6
21919,1,,half bottle vodka
21258,1,,per/w
27006,1,,WBC 14.53
12099,1,,nchesumo
12666,1,,-240 L/min
12646,1,,pints over a weekend
19685,1,,\meddata\s6000\document\Apollo\2004\NOV\7689.TIF|7
26950,1,,stay on 2.5
28038,1,,monthe
6395,1,,SMI Units
13573,1,,Dopamine/creatinine ratio
21178,1,,only 4 times a year
3251,1,,(0.4 - 0.8)
8876,1,,bowles/day
22961,1,,(200--450)
23110,1,billion per liter,10/9 l(2.32)
23787,1,,3.15
23886,1,,mmol/mol L
13333,1,,mg/gww
18999,1,,bottles or wine
15963,1,,mil/mm3
7315,1,,Inflammation/Ulceration
23838,1,millimole per liter,mmol/L ( 3.6-6.0)
9930,1,,Vomit examination NOS
27511,1,,Study Identifier
16693,1,,L vodka/day
22723,1,,hours. mins
23711,1,,2185
18838,1,,4.84
26051,1,,\meddata\s6000\document\Apollo\2013\APR\314445.TIF
13285,1,,02/week
23079,1,,cmk
21778,1,,*u/L(24-195)
13692,1,,falls in year
2088,1,,cont 2/3 rv 1/12
23884,1,billion per liter,10/9 l(.125%)
15663,1,,13 years
27652,1,,\meddata\s6000\document\Apollo\2013\JAN\MERG9354.T
20128,1,,Homozygous SS genotype
21282,1,,gram/per week
24433,1,,\meddata\s6000\document\Apollo\2007\SEP\77910.TIF|
20830,1,billion per liter,10/9 l(57.1)
28173,1,,to 12 units a week
24993,1,,\meddata\s6000\document\Apollo\2006\JUN\9860.TIF|9
9335,1,,(N) [1.5-1.72]
23509,1,,1mg/ 2mg alt days
24756,1,,microns rt
21440,1,,mg/+UN
16007,1,,nmoil/
12060,1,percent,%1.28
13068,1,,foreign boby
19841,1,,\meddata\s6000\document\Apollo\2006\SEP\31456.TIF|
24253,1,billion per liter,10/9 l(.476%)
9774,1,,10^3
5086,1,,2475
22902,1,,5- 10 Cigs Daily
28183,1,,already requested
26545,1,,\meddata\s6000\document\Apollo\2011\FEB\215016.TIF
20469,1,,24/30
28564,1,,times/day beforemeal
27112,1,,(RPR)
24390,1,,"Vomit - O/E, general"
24516,1,,\meddata\s6000\document\Apollo\2012\JAN\261474.TIF
28531,1,,Cytoprime2
3217,1,billion per liter,10/9 l(24.0)
19196,1,,7 times /week
20263,1,,times/fotnight
28794,1,,k/UA L
28996,1,,drinks each night
