numunitid,Description
12788,\meddata\s6000\document\Apollo\2012\SEP\140478.TIF
12789,\meddata\s6000\document\Apollo\2013\MAY\153265.TIF
12790,\meddata\s6000\document\Apollo\2012\NOV\142807.TIF
12791,\meddata\s6000\document\Apollo\2012\NOV\143192.TIF
12792,\meddata\s6000\document\Apollo\2012\OCT\142846.TIF
12793,\meddata\s6000\document\Apollo\2012\OCT\141335.TIF
12794,\meddata\s6000\document\Apollo\2013\MAY\154289.TIF
12795,\meddata\s6000\document\Apollo\2013\JAN\146557.TIF
12796,\meddata\s6000\document\Apollo\2012\SEP\141051.TIF
12797,\meddata\s6000\document\Apollo\2012\SEP\140723.TIF
12798,\meddata\s6000\document\Apollo\2012\JUN\135104.TIF
12799,\meddata\s6000\document\Apollo\2012\NOV\143401.TIF
12800,\meddata\s6000\document\Apollo\2012\OCT\142672.TIF
12801,\meddata\s6000\document\Apollo\2012\OCT\142364.TIF
12802,\meddata\s6000\document\Apollo\2012\SEP\140448.TIF
12803,\meddata\s6000\document\Apollo\2012\OCT\141915.TIF
12804,\meddata\s6000\document\Apollo\2013\FEB\148367.TIF
12805,\meddata\s6000\document\Apollo\2012\APR\132220.TIF
12806,\meddata\s6000\document\Apollo\2012\OCT\142037.TIF
12807,\meddata\s6000\document\Apollo\2012\OCT\142753.TIF
12808,\meddata\s6000\document\Apollo\2012\OCT\142404.TIF
12809,\meddata\s6000\document\Apollo\2012\NOV\144343.TIF
12810,\meddata\s6000\document\Apollo\2012\JUL\137664.TIF
12811,\meddata\s6000\document\Apollo\2012\SEP\141313.doc
12812,\meddata\s6000\document\Apollo\2013\JUN\154406.pdf
12813,\meddata\s6000\document\Apollo\2009\AUG\SCAN2293.T
12814,\meddata\s6000\document\Apollo\2013\JUN\155025.TIF
12815,\meddata\s6000\document\Apollo\2012\SEP\140438.TIF
12816,\meddata\s6000\document\Apollo\2012\OCT\141816.TIF
12817,\meddata\s6000\document\Apollo\2013\APR\152339.TIF
12818,\meddata\s6000\document\Apollo\2012\SEP\140477.TIF
12819,\meddata\s6000\document\Apollo\2012\OCT\142303.TIF
12820,\meddata\s6000\document\Apollo\2012\AUG\140426.TIF
12821,\meddata\s6000\document\Apollo\2012\NOV\143846.TIF
12822,\meddata\s6000\document\Apollo\2012\SEP\140545.TIF
12823,\meddata\s6000\document\Apollo\2013\FEB\148391.TIF
12824,\meddata\s6000\document\Apollo\2013\MAY\154324.TIF
12825,\meddata\s6000\document\Apollo\2013\JUL\156521.PDF
12826,\meddata\s6000\document\Apollo\2012\SEP\140489.TIF
12827,\meddata\s6000\document\Apollo\2012\JUL\137113.TIF
12828,\meddata\s6000\document\Apollo\2012\MAY\134970.TIF
12829,\meddata\s6000\document\Apollo\2012\SEP\140140.TIF
12830,\meddata\s6000\document\Apollo\2012\MAY\135424.TIF
12831,\meddata\s6000\document\Apollo\2012\NOV\143170.TIF
12832,\meddata\s6000\document\Apollo\2012\JUN\136421.TIF
12833,\meddata\s6000\document\Apollo\2013\FEB\148366.TIF
12834,\meddata\s6000\document\Apollo\2012\SEP\140093.TIF
12835,\meddata\s6000\document\Apollo\2012\AUG\140134.TIF
12836,\meddata\s6000\document\Apollo\2012\SEP\140424.TIF
12837,\meddata\s6000\document\Apollo\2012\JUN\135758.TIF
12838,\meddata\s6000\document\Apollo\2012\SEP\140717.TIF
12839,\meddata\s6000\document\Apollo\2012\MAY\133925.TIF
12840,\meddata\s6000\document\Apollo\2012\OCT\142895.TIF
12841,\meddata\s6000\document\Apollo\2012\SEP\141279.TIF
12842,\meddata\s6000\document\Apollo\2012\OCT\142365.TIF
12843,\meddata\s6000\document\Apollo\2012\SEP\141157.TIF
12844,\meddata\s6000\document\Apollo\2012\OCT\142889.TIF
12845,\meddata\s6000\document\Apollo\2013\MAR\150175.TIF
12846,\meddata\s6000\document\Apollo\2012\APR\132792.TIF
12847,\meddata\s6000\document\Apollo\2012\OCT\143065.TIF
12848,\meddata\s6000\document\Apollo\2012\JUN\135000.doc
12849,\meddata\s6000\document\Apollo\2012\OCT\142845.TIF
12850,\meddata\s6000\document\Apollo\2012\OCT\141901.doc
12851,\meddata\s6000\document\Apollo\2012\AUG\138860.TIF
12852,\meddata\s6000\document\Apollo\2012\OCT\142405.TIF
12853,\meddata\s6000\document\Apollo\2012\NOV\143294.TIF
12854,\meddata\s6000\document\Apollo\2012\SEP\141066.TIF
12855,\meddata\s6000\document\Apollo\2012\SEP\140603.TIF
12856,4 or 5 days
12857,\meddata\s6000\document\Apollo\2012\OCT\142897.TIF
12858,\meddata\s6000\document\Apollo\2012\OCT\142942.TIF
12859,\meddata\s6000\document\Apollo\2012\DEC\144944.TIF
12860,\meddata\s6000\document\Apollo\2012\SEP\140939.TIF
12861,\meddata\s6000\document\Apollo\2012\SEP\141037.TIF
12862,\meddata\s6000\document\Apollo\2012\NOV\144657.TIF
12863,attacks/week
12864,/day5
12865,size in wks
12866,L/min450
12867,MREC
12868,/day18
12869,umol/24Hrs.
12870,/mint
12871,RANGE
12872,U/week gave up drink
12873,mls.
12874,x 10-10M
12875,mOsmol/K
12876,uG(DHT)/dL
12877,Antibody Index
12878,ug(DHT)/
12879,G/24 Hrs.
12880,pml/h/mg/Hb
12881,GPL U
12882,See Other
12883,strips/week
12884,twice week
12885,/rpm
12886,times/week1
12887,mmol//L
12888,packs week
12889,25 g /week
12890,//year
12891,unrecorded
12892,mmol/mol Crt
12893,U/ 2-3 times a week
12894,U/4+ times per week
12895,U/ 4 times per week
12896,x10 6/ejac
12897,x10^6/ejac
12898,pm/h/mgH
12899,g/mol creatinine
12900,U/2-3 times per week
12901,U/2-3times per Month
12902,***
12903,U/2-3 times a week
12904,x10^6/ej
12905,U/2-4times per month
12906,U/2-4 times a month
12907,cm 3
12908,ounce of tobacco
12909,tabacco
12910,grams of tabacco
12911,grams - 12 days
12912,FRAS
12913,mm in 1 ho
12914,mols/litre/hour
12915,ounce a week
12916,pg/1
12917,gramms
12918,/75
12919,cigar a day.
12920,PYs
12921,U every 2/52
12922,pints per month
12923,roll-ups daily
12924,U/4months
12925,04-May
12926,0/5
12927,(mm fall in 1 hour)
12928,16
12929,(mIU/l)
12930,DAYS/LAST SIX MONTHS
12931,mm fall in one hour
12932,02-Feb
12933,10-12 per week
12934,0z/wek
12935,LQD study
12936,roll up a day
12937,week 2 days
12938,nm/g DryWt
12939,2 oz/week
12940,Hb g/dl
12941,90g/week
12942,H umol/L
12943,L IU/L
12944,partners in last 3m
12945,litres/cider day
12946,quarterely
12947,% risk of CVD over 10 yrs
12948,When-Running
12949,average uses/week
12950,U/wee
12951,P{EIU}/ml
12952,Micrograms per 100ml
12953,FEV normal
12954,average uses/day
12955,O/E - Arter press index abnorm
12956,37 + 2
12957,1u/L
12958,% Haemoglobin A units
12959,>90
12960,O/E - Arter press index normal
12961,eiu
12962,10*6 cells/uL
12963,g/week20
12964,DAYS LAST 12MTHS
12965,L/min530
12966,iu/gmHb
12967,years?
12968,bottles a day
12969,TIMES IN WEEK
12970,Rast test
12971,No Partners 12/12
12972,27/40
12973,haematrocrit
12974,10/9 l(2.64%)
12975,10/9 l(43.2%)
12976,16/day
12977,Each day
12978,screen
12979,days in last 6m
12980,Body water test
12981,27/60
12982,Serum phenylalanine normal
12983,3-4 units
12984,beats/min88
12985,pr/day
12986,mmol/L BrAC
12987,FRAX score
12988,U/we
12989,Times in month
12990,L/u
12991,10/9 l(46.1%)
12992,10/9 l(.545%)
12993,0.66mg/l BrAC
12994,10/9 l(7.51%)
12995,mls/l
12996,fahreheit
12997,No/year.
12998,x10^
12999,umol\mol
13000,% nocte
13001,% dly 3/7
13002,%/nightly
13003,350 gms per week
13004,ACR
13005,% daily
13006,cu.mm
13007,U/Dly
13008,pieces per day
13009,Lyme ELISA test
13010,Blood bicarbonate level
13011,18 U/week
13012,Sperm: abnormal constituents
13013,Creatinine clearance test
13014,Urine ketone test NOS
13015,Brucella complement fixation test
13016,/day Social smoker
13017,kaolin clotting
13018,Sputum microscopy NOS
13019,C. trachomatis L2 antibody lev
13020,Rhesus antibody titre
13021,RBC's - reticulocytes present
13022,winter time
13023,Fluores treponem antibody test
13024,Plasma TSH level
13025,O/E: E.M. micr.: virus
13026,/day 1
13027,Serum CPK MB isoenzyme level
13028,pmol/hr/mgHb
13029,Sample: virus identified
13030,x inj. of 40mg steroid
13031,Urine porphobilinogen
13032,Serum free triiodothyronine level
13033,90 minute serum glucose level
13034,Mumps IgM level
13035,xxxxxxxx
13036,bottles vodka/wk
13037,Oct-28
13038,mins total
13039,hour & min
13040,less than monthy
13041,12 per day
13042,several/week
13043,oz/mth
13044,1 per mth
13045,88/0.5
13046,times / month
13047,\meddata\s6000\document\Apollo\2014\MAY\365123.TIF
13048,\meddata\s6000\document\Apollo\2005\FEB\9614.TIF|9
13049,\meddata\s6000\document\Apollo\2005\APR\10437.TIF|
13050,\meddata\s6000\document\Apollo\2012\JUL\172267.TIF
13051,oz/per month
13052,bo
13053,NYHA
13054,million ml
13055,antiXaIU
13056,micro g/L
13057,nanamol/l
13058,GENVASC
13059,03-May
13060,44.6
13061,36.9
13062,resps/minute
13063,213012
13064,venous sample
13065,12.3
13066,13.4
13067,g/ozs
13068,foreign boby
13069,ratio.
13070,mosmoles/kg
13071,nanmol/ml/min
13072,/STAIRS
13073,rollups
13074,(1 in)
13075,200g/week
13076,Hours a month
13077,times/12/12
13078,nmol/mmol CRT
13079,10/9 l(.620%)
13080,10/9 l(.631%)
13081,10/9 l(1.18%)
13082,10/9 l(1.38%)
13083,10/9 l(12.7%)
13084,10/9 l(12.8%)
13085,10/9 l(22.5%)
13086,10/9 l(22.9%)
13087,146/60
13088,155/84
13089,gm / 24hr
13090,units per month
13091,Se LH
13092,30CM
13093,umol ZPP/m
13094,/ 5mth
13095,Mar-40
13096,/3mthly
13097,fPAL
13098,38.1
13099,EMISNOFH2
13100,ug/Lnge
13101,??g/L
13102,??mol/L
13103,\meddata\s6000\document\Apollo\2013\JUN\319592.TIF
13104,mcgFEU/ml
13105,/12 on Audit-C
13106,Chol/HDL Ratio
13107,Total Protein
13108,WBC 7.88
13109,12.7
13110,mIU/mL [0
13111,12.9
13112,16.4
13113,\meddata\s6000\document\Apollo\2004\MAY\5050.TIF|5
13114,14.5
13115,10/9 l(.419%)
13116,10/9 l(1.56%)
13117,10/9 l(33.1%)
13118,10/9 l(55.0%)
13119,10/9 l(9.88%)
13120,rolls 5 cigarettes
13121,0.5oz
13122,mthly
13123,/UoM
13124,U/oM
13125,g/2weeks
13126,UI/mL
13127,smoked daily
13128,gr/daily
13129,No/Times
13130,nnml/l
13131,dialy
13132,daily quantity
13133,occasionaly
13134,pmo1/1
13135,/24 hours
13136,/g per day
13137,mOsm/kg H20
13138,H mg/mmol
13139,mL/min/1.73(2)
13140,Fits in the last 15 months
13141,m mol/mol
13142,= 79% of predicted
13143,= 78 % of predicted
13144,m/s2
13145,m1
13146,gms/L
13147,mcg/g
13148,IU/nl
13149,mol/24hrmol/24hr
13150,mmol/24hrmmol/24hr
13151,a/week
13152,cm/yr
13153,ug/g (<50)
13154,/30 points
13155,Impetigo
13156,ng/L (190-900 ng/L)
13157,ng/ml (10-300 ng/ml)
13158,ug/L (1.9-14 ug/L)
13159,30-May
13160,mmol/colle
13161,2.29
13162,myyy
13163,%%
13164,% alive
13165,MASc study
13166,2 x weekly
13167,40/week
13168,03-Jun
13169,ml/kg/day
13170,g/kg/day
13171,U/per Christmas/East
13172,U/bi-monthly
13173,cigs/day (no filter)
13174,U/occasional
13175,Ex-social smoker
13176,12u
13177,2 units per day
13178,see previous entry
13179,/occassional
13180,on occcasions
13181,on xmas day
13182,twice a month
13183,socially only
13184,occasions only
13185,on holiday
13186,every 2 months.
13187,on occasions only
13188,every 10 weeks
13189,if she goes out
13190,every 3 weeks
13191,in the past month
13192,TS
13193,on xmas day only
13194,alternative weeks
13195,every 6-8 weeks
13196,every couple of week
13197,every few weeks
13198,on holiday only
13199,once a year
13200,match days
13201,once a week socially
13202,week socially
13203,as required
13204,in past 6 weeks
13205,at xmas
13206,every 12 weeks b12
13207,xmas day only
13208,sherry
13209,2-3 weekly
13210,at xmas only
13211,in the past 2 weeks
13212,over 3 weeks
13213,per week socially
13214,(0.20
13215,e cigarette
13216,mcg per litre
13217,occasionally wheeze
13218,few beers a weekend
13219,L cider a night
13220,every other day
13221,Ltrs of cider per da
13222,ltrs a day
13223,bottles vodka a week
13224,ml of whisky a week
13225,U/twice a week
13226,lifetime
13227,Eq/L
13228,ng/m
13229,GR
13230,kat/kg
13231,th - 75 th
13232,mmol/lmmol/mol
13233,beat per minute
13234,mmol/Kgmmol/Kg
13235,6.9 mmol/L
13236,6.7 mmol/L
13237,5.6 mmol/L
13238,5 mmol/L
13239,U10/week
13240,beats/min77
13241,5.7 mmol/L
13242,100%
13243,2-3ounces
13244,x per night
13245,mg/kg st
13246,11.6
13247,9.1
13248,x10^9/l(16.7%)
13249,% Hypo RBC (Normal <8.0%) ->
13250,litrese
13251,x10^9/l(75.1%)
13252,10^9 /L
13253,14/28
13254,pfr (litres/minute)
13255,U/when binges
13256,70++
13257,\meddata\s6000\document\Apollo\2010\5\Document 174
13258,10/9 l(59.3%)
13259,10/9 l(10.8%)
13260,PACE
13261,1 xtimes/week.
13262,x10^9/l(10.4%)
13263,3-4 times/week
13264,10/9 l(2.01%)
13265,10/9 l(41.2%)
13266,10/9 l(.214%)
13267,50 years
13268,Oxvalve
13269,10/9 l(.311%)
13270,10/9 l(7.78%)
13271,10/9 l(30.7%)
13272,10/9 l(46.7%)
13273,pkt
13274,10/9 l(1.09%)
13275,14/day
13276,mg/100g
13277,1995
13278,very lttle
13279,Hospital
13280,Genetic
13281,1 times/day
13282,oz\/week
13283,per/year
13284,L cidre per day
13285,02/week
13286,x10*9 /l
13287,oz /wk
13288,Electrophoresis - Hb
13289,\meddata\s6000\document\Apollo\2012\12\Document 90
13290,cans beer daily
13291,month s
13292,umol/g(Hb)
13293,ml/min (est.)
13294,KG/MM
13295,1982
13296,1.1
13297,pints/3 times wk
13298,%oftHb
13299,EV units
13300,Gp Lu
13301,Mp Lu
13302,pmoUL
13303,vm
13304,per week/socially
13305,U/ 2 - 3 weeks
13306,Blood urea/renal function
13307,5.2 mmol/L
13308,2- 3 bottles
13309,g per week
13310,2 x in a month
13311,pipe per day
13312,cans4
13313,1.8.19
13314,times weekly
13315,pints beer/wk
13316,% Live
13317,14.6
13318,in the last 12 mths
13319,Ca
13320,/day - roll ups
13321,mmol / mol
13322,spirits per week
13323,cigerettes
13324,1.02
13325,3.66
13326,umol/L.h
13327,umol/g.h
13328,7 times
13329,umol/L(56-127)
13330,*g/dL
13331,mmol/L(3.5-5.3)
13332,mmol/L(2.1-7.6)
13333,mg/gww
13334,350l/min
13335,gramm/week
13336,\meddata\s6000\document\Apollo\2012\3\Document 779
13337,10^9/l(0.1%)
13338,pos
13339,\meddata\s6000\document\Apollo\2011\FEB\SCAN2625.T
13340,umol/gHb
13341,no of cig
13342,nmol DHT/L
13343,\meddata\s6000\document\Apollo\2008\MAY\SCAN5549.T
13344,SUMMIT D 2018
13345,audit acore
13346,weeks & 6 days
13347,2years
13348,mg weekly
13349,g/l (by sc
13350,U/I
13351,ROLL/DAY
13352,Jul-15
13353,days in last month
13354,less than0.03
13355,10-19/day
13356,per months
13357,cig / day
13358,yealry
13359,ONZES
13360,non fasting glucose
13361,U/ year
13362,\meddata\s6000\document\Apollo\2007\DEC\82579.AHF|
13363,tobacco
13364,$%
13365,11.7
13366,12/
13367,mPas @ 25deg.c
13368,cigs a day
13369,10/9 l(.832)
13370,10/9 l(46.4)
13371,10/9 l(2.44)
13372,6.03
13373,Pillows
13374,10/9 l(41.2)
13375,degrees 9
13376,10/9 l(9.15)
13377,grams per 2 weeks
13378,/grams daily
13379,U/week 1
13380,mg/lt
13381,x 10'9/l
13382,<7% - good
13383,MICOGM/I
13384,x 10'12/l
13385,mm/min
13386,1.29
13387,U/wmonthly
13388,cannibis spliffs/day
13389,35/week
13390,X 109/L (
13391,cig per week
13392,X1012/L (
13393,1 oz/week
13394,bottles of vodka/wk
13395,cigarretes/week
13396,95%
13397,gramme
13398,gra
13399,U/L:
13400,21/30
13401,Faeces examination - odour
13402,X10*/l
13403,nmol/mmol creat.
13404,/91
13405,cells per ul
13406,pregs
13407,pints beer/week
13408,3 falls
13409,g/2 days
13410,g/1.5 month
13411,g/4/7
13412,g/2D
13413,packs/week
13414,asthma attack
13415,g/ 02 week
13416,days off asthma
13417,U/two week
13418,g/10D.
13419,g/5D
13420,umol/molH
13421,0.99 mmol/L
13422,7.02 mmol/L
13423,sinus rhythm
13424,13u
13425,100000 Genomes
13426,na/l
13427,/72
13428,3 times a week
13429,times/2
13430,mg/per week
13431,-gave up 2006
13432,pouches a week
13433,oz per wk
13434,Days in last year
13435,rolled cigs/day
13436,/0.25 day
13437,m[iU]
13438,xavg.
13439,dd-mm-yyyy
13440,PT control
13441,357L/min
13442,pmol/8x10^
13443,times/every 3/12
13444,ugE1/g sto
13445,/da10
13446,times/momth
13447,Per Morning
13448,op
13449,.80nmol/L
13450,m.
13451,pmol/L^pmol/L
13452,U/week 6
13453,nb
13454,st. lbs
13455,U/3 days
13456,/g/week
13457,half year
13458,25 grams weekly
13459,pg/Lm
13460,montth
13461,half yearly
13462,nine months
13463,ounzes/ week
13464,20 - 40
13465,six months
13466,wks by size
13467,Wks by dates
13468,\meddata\s6000\document\Apollo\2011\OCT\MERG4648.A
13469,12 a day
13470,bottle of wiskey
13471,average per day
13472,\meddata\s6000\document\Apollo\2012\4\Document 179
13473,cup/disc ratio
13474,days in last 3M
13475,/15day
13476,times/3
13477,every 2months
13478,nmol 6-MTG/gHb/h
13479,2grams/day
13480,times a day.
13481,/day12
13482,14g
13483,KG/CMS
13484,dau
13485,Apr-27
13486,+-
13487,1 U/ week
13488,oz / week
13489,3.5
13490,2090
13491,within month
13492,1260
13493,132/70
13494,1411
13495,#NAME?
13496,Lt/m
13497,l/mth
13498,2to 3 units a weeken
13499,LESS THAN MTH
13500,U/2MTHS
13501,less per month
13502,less/mth
13503,I/MTH
13504,u/less month
13505,U/week/lessthan
13506,pint/day
13507,less /mth
13508,g/week- Cannibis
13509,nmol/g.Hb/hour
13510,un/pw
13511,10.9 L
13512,10.9/L
13513,0.01
13514,mil/min/1.73m^2
13515,per/mth
13516,days last mth
13517,mini cigars/day
13518,PR3
13519,Indirect (unconj.) bilirubin
13520,times/month average
13521,#NAME?
13522,times or more/week
13523,% better
13524,p yrs
13525,approx times/week
13526,Braden
13527,amount not specified
13528,GI/L
13529,pyrs
13530,/ 100 WBC'
13531,when exercising
13532,or more times/week
13533,or more in last mnth
13534,Year (YYYY)
13535,#NAME?
13536,#NAME?
13537,PS Grade
13538,d/gl
13539,advised not heavy sm
13540,time in last month
13541,mll/l
13542,(NR 1.0-1.1)
13543,ug/ l
13544,mmol/L^mmol/L
13545,units per
13546,gm%
13547,19 - 20/day
13548,2050
13549,21.6.13
13550,pq
13551,IRAS project ID
13552,Serum IGF 1 level
13553,mls per sec.
13554,ww flex
13555,/gram per week
13556,umo1/1
13557,Gastrointestinal hormones NOS
13558,24 hour urine volume NOS
13559,cigerrettes
13560,8g
13561,Faecal occult blood NOS
13562,Diff. white cell count NOS
13563,C3 nephritic factor level
13564,hours/night
13565,Serum adrenaline level
13566,Serum rheumatoid antigen level
13567,3months
13568,Serum random lipoprotein level
13569,Blood sent - infectious titres
13570,Serology: organism NOS
13571,RBC folate low
13572,Corrected plasma creatinine level
13573,Dopamine/creatinine ratio
13574,Litres of spirits
13575,Rubella (SRH) antibody
13576,Complement test NOS
13577,Urine urobilinogen = +
13578,nmol/mM creat
13579,Serum total T4 level
13580,Packs yr
13581,when required
13582,UP
13583,mcmol/dL
13584,RS
13585,beats/ min
13586,*10 12
13587,H kU/L
13588,omol/L
13589,/grm
13590,l.l
13591,l/l/
13592,iUL/
13593,only with urti
13594,in statin survey
13595,/2 cans per day
13596,dayds
13597,daysb
13598,x10^9/l(25.8%)
13599,x10^9/l(65.0%)
13600,x10^9/l(7.6%)
13601,ugm/l
13602,L450
13603,packet of tobacco/we
13604,5 week 4 days
13605,5.28
13606,*10
13607,un/ml
13608,E1/g faeces
13609,times per month
13610,x10/9L
13611,/ 48
13612,miu/mi
13613,mD
13614,gr%
13615,10*9 L
13616,1m
13617,/six months
13618,Litres a day
13619,10*6/ejac
13620,l/1
13621,10per day
13622,\meddata\s6000\document\Apollo\2005\JAN\8921.TIF|8
13623,\meddata\s6000\document\Apollo\2005\JAN\9115.TIF|9
13624,cans larger/day
13625,g/10*-4.m2
13626,on a weekend
13627,micrmols/I
13628,#NAME?
13629,mg per L
13630,microgram per L
13631,x10 copies per ml
13632,watts
13633,/800
13634,microm/iL
13635,microgram /L
13636,mmol per L
13637,pg.dl
13638,once aweek
13639,pmol/8x10*8(RBC)
13640,1500
13641,100/WBC
13642,reg beats/min
13643,Faeces: organism O/E
13644,mm/s
13645,days/3mths
13646,g/per day
13647,37.9degrees C
13648,Faeces pH
13649,\meddata\s6000\document\Apollo\2007\NOV\MERG1775.T
13650,U/0week
13651,per 3 mths
13652,51.40%
13653,/every 3 days
13654,mcg/lt
13655,drinks/month
13656,10ml
13657,beats/min irreg.
13658,monthds
13659,2 - 3 monthly
13660,irreg
13661,9 days
13662,every 9 days
13663,g/10days
13664,10/9 l(55.1%)
13665,10/9 l(14.2%)
13666,87%
13667,BC/whole blood
13668,64%
13669,29%
13670,134%
13671,85%
13672,67%
13673,107%
13674,10/9 l(27.5%)
13675,22%
13676,exp. 455 l/min
13677,BC/whole b
13678,80%
13679,10/9 l(.973%)
13680,calculated Framingha
13681,63%
13682,83%
13683,advice
13684,60%
13685,61%
13686,10/9 l(2.17%)
13687,2.23
13688,35%
13689,Lo ml/min/70kg
13690,\meddata\s6000\document\Apollo\2010\FEB\281080.AHF
13691,\meddata\s6000\document\Apollo\2010\FEB\MERG6041.A
13692,falls in year
13693,1408
13694,total smoked unknown
13695,rollies/day
13696,cigarettes daily
13697,r/ups per day
13698,days/term or four months
13699,miles/week (running)
13700,temp:
13701,mmU/L
13702,unknown total units
13703,U/week 5
13704,m/gl
13705,n/gl
13706,CPSS
13707,packets/wk
13708,in
13709,pk/wk
13710,ve
13711,611L/min
13712,% on 8L O2
13713,Jun-12
13714,"mg/day ,"
13715,"mm/hr ,"
13716,mmHg150
13717,6mmol/L
13718,PINT/MONTH
13719,Qc
13720,rolls per day
13721,Castlefield
13722,greater than
13723,oz.
13724,twice monthly
13725,3 m
13726,nanomol/mol
13727,glasses/month
13728,*%
13729,1.8ug/L
13730,beats/min- regular
13731,U/annual
13732,1-2 a day
13733,sd above 35yo
13734,SD Above Same Age
13735,sd over 35yo
13736,-3.79
13737,U/3-4wks
13738,x 10^9 /l
13739,/ fortnight
13740,bottle of spirit/day
13741,2wkly
13742,mg/24 Hrs.
13743,exacerbations/12 months
13744,mg/10ml
13745,unit /month
13746,pipes per day
13747,o2 sats
13748,grms/week
13749,fa
13750,?<60
13751,22.3
13752,18.4
13753,16.7
13754,15.3
13755,17.8
13756,11.8
13757,6.8
13758,U/3 times a week
13759,12
13760,9.8
13761,/27 score
13762,8.2
13763,16.9
13764,8.7
13765,22.7
13766,8.9
13767,6.6
13768,10.3
13769,9.5
13770,20.9
13771,8
13772,10.1
13773,7.9
13774,5.2
13775,20.5
13776,5.3
13777,9
13778,20.4
13779,10.7
13780,24.3
13781,9.3
13782,18.7
13783,/28 score
13784,17.4
13785,9.2
13786,mm in 1hour
13787,10.8
13788,6.9
13789,16.6
13790,7
13791,18.1
13792,1-12/year
13793,14.3
13794,20
13795,14.8
13796,5.6
13797,12.1
13798,11.3
13799,11.1
13800,4.6
13801,13.8
13802,4.4
13803,8.8
13804,6.1
13805,11.5
13806,9.9
13807,10.2
13808,6.7
13809,11.9
13810,17.9
13811,18.9
13812,8.1
13813,8.6
13814,7.8
13815,19.1
13816,U/24h
13817,7.1
13818,11.4
13819,litresge
13820,16.3
13821,6.5
13822,15.1
13823,15.8
13824,19.3
13825,7.6
13826,11.2
13827,16.5
13828,10.6
13829,Sep-19
13830,13.8 U/week
13831,audits
13832,44IF
13833,02/00000391248
13834,a night
13835,02/00000392202
13836,in 2 hour period
13837,mm in 02/00000392301
13838,mm in 02/00000392299
13839,/3 days
13840,25U/week
13841,weeks & 3 days
13842,twice a year only
13843,socially every 4 wks
13844,socially not weekly
13845,rolled cigarets aday
13846,Wk/Day
13847,cu.mm.
13848,pmol 6-TGN/8x10\S\8 cells
13849,pmol 6MMPN/8x10\S\8 cells
13850,U/mthly
13851,167.5 / 85
13852,/wk - socially
13853,U/monthley
13854,gym
13855,M.P.a.S. (37?'C)
13856,g/in 3 week
13857,Gcell/L
13858,Not known/day
13859,occasioally
13860,5 a day
13861,6 oz
13862,149%
13863,10/d
13864,A 16/18 D9/18
13865,127%
13866,DEGR
13867,mmol/24 hour
13868,kg/gall
13869,UML/24
13870,/quarter
13871,2weekly
13872,- 2 glasses wine/day
13873,sleep
13874,pmol\L
13875,not found
13876,/3 week
13877,39.7
13878,pmol/8.(10*8){cells}
13879,pmol/8.(10*8){RBCs}
13880,U/ in 2 month
13881,U/ in 2 months
13882,g/col'n
13883,pints 3 nights/week
13884,g every 2 weeks
13885,MICROMOLE/LITRE
13886,units per year
13887,pmol/24h
13888,mgs.
13889,nmm Hg
13890,1112
13891,oz/per week
13892,umol/kg
13893,IU/ml <4
13894,Mar-21
13895,bottle of wine/night
13896,m/m
13897,ug/Hb/g Stl
13898,cans carling/night
13899,onz
13900,CEL/UL
13901,#NAME?
13902,weeks & 4 days
13903,times/every few mont
13904,% of lymphocytes
13905,m osmol/kg
13906,31538
13907,#NAME?
13908,delete
13909,2-4 times per month
13910,0week
13911,av per day
13912,av. per day
13913,Pulse -Apex 68
13914,mmol/lmol
13915,10*9 cells
13916,sr
13917,nm/L per 24hrs
13918,2-3 units per month
13919,60+
13920,earli
13921,U/Sunday
13922,14 per week
13923,0.79
13924,10*5
13925,m/min
13926,/couple of weeks
13927,MPLY
13928,social drinker
13929,units x 5 night wk
13930,sometimes in cold
13931,units 1
13932,-3 mugs cider/day
13933,bottles whiskey/day
13934,U/3 monthly
13935,ng/g
13936,HbA1c new units
13937,o u /week
13938,\meddata\s6000\document\Apollo\2006\AUG\MERG3489.T
13939,mmols per mol
13940,10/9 l(1.53%)
13941,10/9 l(1.92%)
13942,10/9 l(28.9%)
13943,10/9 l(5.6%)
13944,h IU/L(<37)
13945,0-50
13946,h mm
13947,h IU/L (<40)
13948,2.5 to 10.0
13949,IIIIU
13950,IIIU
13951,gm/cc
13952,ug/L h
13953,h g/24h
13954,Hx10*9/L
13955,Hmm
13956,g/cc
13957,thou orgs/ml
13958,hpg
13959,h g/24
13960,pmol/L9.7-25.7
13961,mmol/L(2.5-10.0)
13962,Lg/L(35-53)
13963,(A&B) %
13964,hmol/L44-120
13965,g/L24h
13966,mu/L 0.47-4.5
13967,x10^9/l(52.1%)
13968,x10^9/l(61.6%)
13969,x10^9/l(28.1%)
13970,x10^9/l(38.9%)
13971,x10^9/l(2.1%)
13972,x10^9/l(36.7%)
13973,x10^9/l(53.9%)
13974,x10^9/l(2.0%)
13975,x10^9/l(62.4%)
13976,(Days)
13977,x10^9/l(11.4%)
13978,x10^9/l(39.1%)
13979,x10^9/l(7.7%)
13980,x10^9/l(3.5%)
13981,x10^9/l(1.7%)
13982,x10^9/l(25.3%)
13983,(Attacks)
13984,x10^9/l(33.2%)
13985,x10^9/l(27.2%)
13986,x10^9/l(6.3%)
13987,(0
13988,x10^9/l(28.6%)
13989,x10^9/l(57.6%)
13990,x10^9/l(55.8%)
