,quality_score,view_certificate_1,view_certificate_2,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species,Owner,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,NA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,NA.2,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA.3,Expiration,Certification Body,Certification Address,Certification Contact,,Notes
354,83.5,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-1919,Neiva,3-59-1919,CARCAFE LTDA,1000,PITALITO - HUILA,Mecias Urbano / Yaniver Alvarez,250,70 kg,Almacafé,2016,"April 7th, 2016",CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,Sample,7.75,7.58,7.58,7.5,7.75,7.75,Sample,10,10,10,7.58,Sample  83.50,,0%,0 full defects,0,Green,0 full defects,,"April 7th, 2017",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
355,83.5,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LA ESPERANZA,11/23/0145,BENEFICIO IXCHEL,11/23/0145,"UNEX GUATEMALA, S.A.",4000,ORIENTE,MARGARITA AVILA DE NUYENS,250,69 kg,Asociacion Nacional Del Café,2016,"March 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.67,7.75,7.5,7.83,7.58,7.58,Sample,10,10,10,7.58,Sample  83.50,,10%,0 full defects,2,Bluish-Green,5 full defects,,"March 16th, 2017",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
356,83.5,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-0634,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,180,70 kg,Almacafé,2015,"November 19th, 2015",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.58,7.58,7.58,7.58,7.75,7.67,Sample,10,10,10,7.75,Sample  83.50,,12%,0 full defects,0,Green,4 full defects,,"November 18th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
357,83.5,,,,,,Arabica,Damari Absalome,"Tanzania, United Republic Of",ANO Family,,Arusha,CA007,TAWOCA,1400M,Nkure- Meru,Mr & Mrs Damari Absalome,5,60 kg,Africa Fine Coffee Association,2015,"November 16th, 2015",Damari Absalome,Ruiru 11,Completed,Washed / Wet,Sample,7.75,7.67,7.58,7.67,7.67,7.58,Sample,10,10,10,7.58,Sample  83.50,,13%,0 full defects,0,Green,21 full defects,,"November 15th, 2016",Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,
358,83.5,,,,,,Arabica,Aulia Arif Syahri,Indonesia,Yusrin,,OLAM,To be advice,PT. Olam Indonesia,1500,Bener Meriah,Yusrin,200,30 kg,Specialty Coffee Association,2015,"September 14th, 2015",Aulia Arif Syahri,Sumatra,Completed,Semi-washed / Semi-pulped,Sample,7.25,7.67,7.58,7.92,7.83,7.58,Sample,10,10,10,7.67,Sample  83.50,,13%,0 full defects,0,Bluish-Green,8 full defects,,"September 13th, 2016",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
359,83.5,,,,,,Arabica,Debesa Agro Industry Plc,Ethiopia,,,,2014/15,Debesa Agro Industry Plc,1600 on Average,Oromia,Debesa,320,60 kg,METAD Agricultural Development plc,2014,"March 31st, 2015",Debesa Agro Industry Plc,,Completed,Natural / Dry,Sample,7.67,7.75,7.5,7.58,7.75,7.67,Sample,10,10,10,7.58,Sample  83.50,,10%,1 full defects,0,,18 full defects,,"March 30th, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,
360,83.5,,,,,,Arabica,Federacion Nacional de Cafeteros,Colombia,,,,01-1437,Federacion Nacional de Cafeteros,,Huila,,275,2 kg,Almacafé,2014,"March 12th, 2015",Federacion Nacional de Cafeteros,,Completed,Washed / Wet,Sample,7.67,7.42,7.67,7.83,7.58,7.67,Sample,10,10,10,7.67,Sample  83.50,,0%,1 full defects,0,,0 full defects,,"March 11th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
361,83.5,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,BONANZA - ARMENIA,3-68-0068,Exportadora de Cafe Condor S.A,1850 MSNM,HUILA,,275,70 kg,Almacafé,2014,"January 22nd, 2015",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,8,7.58,7.25,7.58,7.92,7.58,Sample,10,10,10,7.58,Sample  83.50,,11%,0 full defects,0,Green,0 full defects,,"January 22nd, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
362,83.5,,,,,,Arabica,The Coffee Source Inc.,Guatemala,SEVERAL,,IXCHEL,11-023-0025,The Coffee Source Inc.,1400 mts,Atitlan,UNEX,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"December 18th, 2014",The Coffee Source Inc.,Caturra,Completed,Washed / Wet,Sample,7.58,7.75,7.5,7.83,7.42,7.67,Sample,10,10,10,7.75,Sample  83.50,,10%,0 full defects,0,Green,0 full defects,,"December 18th, 2015",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,
363,83.5,,,,,,Arabica,Compañia Colombiana Agroindustrial S.A,Colombia,,,Trilladora bonanza,3-79-2009,ecom cca sa,1650,cundinamarca,,250,70 kg,Almacafé,2014,"August 11th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Completed,Washed / Wet,Sample,7.75,7.58,7.33,7.5,7.83,7.83,Sample,10,10,10,7.67,Sample  83.50,,0%,2 full defects,0,,0 full defects,,"August 11th, 2015",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
364,83.5,,,,,,Arabica,,Honduras,Los Hicaques,,CIGRAH SPS,13-111-240,CIGRAH,1350,Comayagua,Reynerio Zepeda,275,1 kg,Instituto Hondureño del Café,2014/2015,"April 8th, 2014",,Caturra,Completed,Natural / Dry,Sample,7.67,7.5,7.67,7.5,7.67,7.67,Sample,10,10,10,7.83,Sample  83.50,,10%,0 full defects,0,Green,3 full defects,,"April 8th, 2015",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,
365,83.5,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,Trilladora Bonanza,3-68-0161,Exportadora de Cafe Condor S.A,1750 msnm,Huila,,250,70 kg,Almacafé,2013,"April 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,7.58,7.75,7.42,7.67,7.75,7.67,Sample,10,10,10,7.67,Sample  83.50,,0%,1 full defects,0,Green,1 full defects,,"April 26th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
366,83.5,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,Trilladora Bonanza,3-68-0183,Exportadora de Cafe Condor S.A,1750 msnm,Huila,,250,70 kg,Almacafé,2013,"May 24th, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,7.58,7.67,7.58,7.75,7.58,7.75,Sample,10,10,10,7.58,Sample  83.50,,11%,0 full defects,,Green,2 full defects,,"May 24th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,had 3 category 3 tables. used first because it wasnt missing moisture data
367,83.5,,,,,,Arabica,MANUEL HERRERA JUAREZ,Mexico,FINCA LOS BARREALES 1112LBAN,,"FINCA LOS BARREALES, TEOCELO, VERACRUZ",0,FINCA LOS BARREALES,1170,XALAPA,MANUEL HERRERA JUAREZ,10,1 kg,AMECAFE,2012,"August 31st, 2012",MANUEL HERRERA JUAREZ,Bourbon,Completed,Natural / Dry,Sample,7.83,7.58,7.25,7.5,7.5,7.42,Sample,10,10,10,8.42,Sample  83.50,,13%,0 full defects,0,Green,14 full defects,,"August 31st, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,
368,83.5,,,,,,Arabica,MIGUEL CORTES MORENO,Mexico,,,"COMUNIDAD DE SACÚN PALMA, MUNICIPIO DE CHILÓN, CHIAPAS",01-Apr,ESTRATEGIAS CONSTRUCTIVAS CORZU S.A. DE C.V.,940,CHILÓN,ARMANDO GUTIERREZ GUZMAN,10,1 kg,AMECAFE,2012,"August 30th, 2012",MIGUEL CORTES MORENO,Typica,Completed,Semi-washed / Semi-pulped,Sample,7.67,7.75,7.67,7.75,7.58,7.5,Sample,10,10,10,7.58,Sample  83.50,,11%,0 full defects,0,Green,12 full defects,,"August 30th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,
369,83.5,,,,,,Arabica,GABRIEL BERNARDO RIVAS ROSS,Mexico,LA CORRALERA,,DOS PUENTES DE FINCA KASSANDRA,2484,,1400,TOTUTLA,GABRIEL BERNARD RIVAS ROSS,15,1 kg,AMECAFE,2012,"July 11th, 2012",GABRIEL BERNARDO RIVAS ROSS,Pacamara,Completed,Washed / Wet,Sample,7.75,7.67,7.67,7.75,7.33,7.5,Sample,10,10,10,7.83,Sample  83.50,,12%,0 full defects,0,Green,0 full defects,,"July 11th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,
370,83.5,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,SANTO TOMAS PACHUJ,,"PALINSA, BENEFICIADO SECO / SANTO TOMAS PACHUJ, BENEFICIADO HUMEDO",11/752/02,KANEMATSU CORPORATION / RNP SANTO TOMAS PACHUJ,5000,ATITLAN,RNP SANTO TOMAS PACHUJ / KANEMATSU CORPORATION,275,69 kg,Asociacion Nacional Del Café,2012,"April 30th, 2012",Juan Luis Alvarado Romero,Caturra,Completed,Washed / Wet,Sample,7.83,7.5,7.5,8,7.67,7.5,Sample,10,10,10,7.5,Sample  83.50,,10%,0 full defects,0,Green,5 full defects,,"April 30th, 2013",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
371,83.5,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-0666,C.I.Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,175,70 kg,Almacafé,2012,"February 9th, 2012",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.67,7.58,7.58,7.67,7.67,7.67,Sample,10,10,10,7.67,Sample  83.50,,11%,0 full defects,0,Green,0 full defects,,"February 8th, 2013",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
372,83.5,,,,,,Arabica,Felipe Isaza,Guatemala,Conquista/Morito,,Beneficio Ixchel,11/23/0237,Coffee Resources Inc.,"4,600 ft.",Oriente,ConquistaMorito,250,2 kg,Specialty Coffee Association,2012,"February 1st, 2012",Felipe Isaza,Bourbon,Completed,Washed / Wet,Sample,7.5,7.5,7.75,7.5,8,7.67,Sample,10,10,10,7.58,Sample  83.50,,0%,3 full defects,0,Green,12 full defects,,"January 31st, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
373,83.5,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,HDOA #210308,,,,,14,100 lbs,Specialty Coffee Association,,"March 8th, 2011",Kona Pacific Farmers Cooperative,,Completed,,Sample,7.5,7.67,7.58,7.92,7.58,7.67,Sample,10,10,10,7.58,Sample  83.50,,1%,0 full defects,0,,0 full defects,,"March 7th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
374,83.5,,,,,,Arabica,Specialty Coffee Association of Indonesia,Indonesia,PANCOER ANGKREK,,PT. PERKEBUNAN NUSANTARA XII,015-282,,1600,Bondowoso,PT. PERKEBUNAN NUSANTARA XII,10,60 kg,Specialty Coffee Association of Indonesia,23-Jul-10,"November 29th, 2010",Specialty Coffee Association of Indonesia,,Completed,,Sample,7.83,7.58,7.58,7.58,7.75,7.58,Sample,10,10,10,7.58,Sample  83.50,,0%,0 full defects,0,,0 full defects,,"November 29th, 2011",Specialty Coffee Association of Indonesia,"Ministry of Agriculture Republic Indonesia, Build C 5th Floor wing B Room 515 . Jl.Harsono RM South Jakarta",Balkis Faisal - 081284251303 / 085780031543,,
375,83.42,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-0504,NEIVA,3-59-0504,CARCAFE LTDA CI,439,HUILA,FRANKLIN DUSSAN / HIPOLITO TORRES,300,29 kg,Almacafé,2017 / 2018,"November 9th, 2017",CARCAFE LTDA CI,Caturra,Completed,Washed / Wet,Sample,7.5,7.58,7.58,7.5,7.75,7.83,Sample,10,10,10,7.67,Sample  83.42,,0%,0 full defects,2,Green,1 full defects,,"November 9th, 2018",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
376,83.42,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,PIAMONTE,11/23/0696,BENEFICIO IXCHELL,11/23/0696,"UNEX GUATEMALA, S.A.",1700,SAN MARCOS,JORGE LEAL,50,69 kg,Asociacion Nacional Del Café,2017,"August 23rd, 2017",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.67,7.75,7.5,7.58,7.58,7.67,Sample,10,10,10,7.67,Sample  83.42,,10%,0 full defects,0,Green,3 full defects,,"August 23rd, 2018",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
377,83.42,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-2318,CARTAGO,3-59-2318,CARCAFE LTDA CI,442,HUILA,FRANKLIN DUSSAN / HIPOLOTO TORRES,600,29 kg,Almacafé,2016,"May 10th, 2017",CARCAFE LTDA CI,Caturra,Completed,Washed / Wet,Sample,7.67,7.67,7.5,7.67,7.67,7.58,Sample,10,10,10,7.67,Sample  83.42,,11%,0 full defects,0,Green,2 full defects,,"May 10th, 2018",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
378,83.42,,,,,,Arabica,"CECA, S.A.",Costa Rica,Gamboa,8885,Beneficio Montañas del Diamante,5-025-0032,"CECA,S.A.",1850,Tarrazu,Martin Gutierrez,275,69 kg,Specialty Coffee Association of Costa Rica,2016,"February 17th, 2017","CECA, S.A.",Caturra,Completed,Washed / Wet,Sample,7.58,7.5,7.42,7.92,7.5,7.67,Sample,10,10,10,7.83,Sample  83.42,,9%,0 full defects,0,Blue-Green,4 full defects,,"February 17th, 2018",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,
379,83.42,,,,,,Arabica,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,日月潭文武莊園,1,南投縣埔里鎮蜈蚣里,,宸嶧國際,,,黃素貞0939227229,1,10 kg,Blossom Valley International,2015,"February 13th, 2017",CQI Taiwan ICP CQI台灣合作夥伴,,Completed,,,7.67,7.67,7,7.08,7,7,Sample,10,10,10,10,Sample  83.42,,11%,0 full defects,0,Blue-Green,0 full defects,,"February 13th, 2018",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,"two category 3 tables, selected second because it included color"
380,83.42,,,,,,Arabica,Bugisu Cooperative Union,Uganda,Bulago & Buginyanya,5055,BCU,7697,Bugisu Cooperative Union,1800,Eastern,Bulago & Buginyanya,20,1218 kg,Uganda Coffee Development Authority,2015,"July 21st, 2016",Bugisu Cooperative Union,SL14,Completed,Washed / Wet,Sample,7.58,7.75,7.33,7.75,7.67,7.58,Sample,10,10,10,7.75,Sample  83.42,,11%,0 full defects,0,Green,1 full defects,,"July 21st, 2017",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,,
381,83.42,,,,,,Arabica,松澤宏樹 Koju Matsuzawa,Thailand,Matsuzawa Coffee,MCCFWXA15/16,Matsuzawa Coffee,,Matsuzawa Coffee,1200,Thailand,Matsuzawa Coffee,500,25 kg,Specialty Coffee Institute of Asia,2015,"June 27th, 2016",松澤宏樹 Koju Matsuzawa,Catimor,Completed,Washed / Wet,Sample,7.5,7.58,7.75,7.5,7.75,7.67,Sample,10,10,10,7.67,Sample  83.42,,13%,0 full defects,0,Bluish-Green,0 full defects,,"June 27th, 2017",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",,
382,83.42,,,,,,Arabica,Consejo Salvadoreño del Café,El Salvador,La Joya,73,El Borbollon,9-391-73,Consejo Salvadoreño del Café,1330,Apaneca - Ilamatepec,"Ibero El Salvador, S.A. de C.V.",275,69 kg,Salvadoran Coffee Council,2016,"April 25th, 2016",Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,Sample,7.58,7.5,7.75,7.58,7.75,7.67,Sample,10,10,10,7.58,Sample  83.42,,11%,0 full defects,0,,0 full defects,,"April 25th, 2017",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600,,
383,83.42,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,,NEIVA,3-59-2236,CARCAFE LTDA,442 msnm,HUILA,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,275,70 kg,Almacafé,2015,"April 29th, 2015",CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,Sample,7.58,7.67,7.58,7.67,7.58,7.67,Sample,10,10,10,7.67,Sample  83.42,,12%,4 full defects,0,Green,0 full defects,,"April 28th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
384,83.42,,,,,,Arabica,BOURBON SPECIALTY COFFEES,Brazil,CACHOEIRA DA GRAMA FARM,,,002/4542/0886,BOURBON SPECIALTY COFFEES,,VALE DA GRAMA,GABRIEL CARVALHO DIAS,300,60 kg,Brazil Specialty Coffee Association,2014,"January 15th, 2015",BOURBON SPECIALTY COFFEES,Yellow Bourbon,Completed,Semi-washed / Semi-pulped,Sample,7.33,7.83,7.75,7.5,7.42,7.83,Sample,10,10,10,7.75,Sample  83.42,,12%,0 full defects,0,Green,6 full defects,,"January 15th, 2016",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,
385,83.42,,,,,,Arabica,Ngila Estate Ltd,"Tanzania, United Republic Of",Ngila Estate,,Ngila Estate Ltd,C50,Ngila Estate Ltd,1600,Karatu Northern,Ngila Estate Ltd,39,60 kg,Africa Fine Coffee Association,2014,"December 12th, 2014",Ngila Estate Ltd,Bourbon,Completed,Washed / Wet,Sample,7.75,7.67,7.58,7.67,7.58,7.58,Sample,10,10,10,7.58,Sample  83.42,,13%,0 full defects,0,Green,4 full defects,,"December 12th, 2015",Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,
386,83.42,,,,,,Arabica,Compañia Colombiana Agroindustrial S.A,Colombia,,,TRILLADORA BONANZA,15-3-79-0002,ecom cca sa,1813,HUILA,,250,70 kg,Almacafé,2014/2015,"October 15th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Completed,Washed / Wet,Sample,7.58,7.58,7.25,7.75,7.75,8.58,Sample,9.33,10,10,7.58,Sample  83.42,,12%,0 full defects,0,Green,1 full defects,,"October 15th, 2015",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
387,83.42,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,EL PAPATURRO,,BENEFICIO IXCHEL,11/23/0562,"UNEX (GUATEMALA), S.A",4000 PSNM,ORIENTE,AMILCAR LAPOLA,250,69 kg,Asociacion Nacional Del Café,2013,"August 21st, 2014",Juan Luis Alvarado Romero,Bourbon,Completed,Natural / Dry,Sample,7.75,7.83,7.33,7.83,7.5,7.67,Sample,10,10,10,7.5,Sample  83.42,,10%,0 full defects,0,Green,1 full defects,,"August 21st, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
388,83.42,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,FINCA MEDINA,,BENEFICIO SIEMBRAS VISIÓN (154),11/11711/6,"SIEMBRAS VISIÓN, S.A.",1500 msnm,ANTIGUA,"SIEMBRAS VISIÓN, S.A.",250,69 kg,Asociacion Nacional Del Café,2014,"February 18th, 2014",Juan Luis Alvarado Romero,Caturra,Completed,Washed / Wet,Sample,7.67,7.75,7.5,7.83,7.58,7.5,Sample,10,10,10,7.58,Sample  83.42,,10%,0 full defects,0,Green,2 full defects,,"February 18th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
389,83.42,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,EL MORITO,,BENEFICIO IXCHEL,11/23/1040,"UNEX (GUATEMALA), S.A.",4300,ORIENTE,ROBERTO MONTERROSO,250,69 kg,Asociacion Nacional Del Café,2013,"July 16th, 2013",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.67,7.5,7.75,7.42,7.75,7.75,Sample,10,10,10,7.58,Sample  83.42,,11%,0 full defects,0,Green,0 full defects,,"July 16th, 2014",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
390,83.42,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,2233803 KONA NO. 1,Kona Pacific Farmers Cooperative,,KONA,,13,100 lbs,Specialty Coffee Association,2012,"January 24th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,Sample,7.42,7.75,7.67,7.58,7.67,7.67,Sample,10,10,10,7.67,Sample  83.42,,0%,0 full defects,0,Green,2 full defects,,"January 24th, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
391,83.42,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,varios,,trilladora Bonanza,3-68-0147,Exportadora de Cafe Condor S.A,1450 msnm,cundinamarca,Exportadora de cafe condor,250,70 kg,Almacafé,2012,"June 26th, 2012",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,7.5,7.75,7.58,7.5,7.67,7.75,Sample,10,10,10,7.67,Sample  83.42,,11%,0 full defects,0,Green,2 full defects,,"June 26th, 2013",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
392,83.42,,,,,,Arabica,Federación Nacional de Cafeteros,Colombia,,,,03-01-0424,,,HUILA,,250,70 kg,Almacafé,,"February 1st, 2011",Federación Nacional de Cafeteros,,Completed,,Sample,7.58,7.58,7.58,7.67,7.75,7.67,Sample,10,10,10,7.58,Sample  83.42,,10%,1 full defects,0,,3 full defects,,"February 1st, 2012",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
393,83.42,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),Kona Pacific Farmers Co-Op,,,HDOA 210127 Kona Extra Fancy,,,Kona,Kona Pacific Farmers Co-Op,12,60 kg,Specialty Coffee Association,2010,"December 27th, 2010",Kona Pacific Farmers Cooperative,,Completed,,Sample,7.5,7.92,7.42,7.67,7.83,7.58,Sample,10,10,10,7.5,Sample  83.42,,1%,0 full defects,0,,0 full defects,,"December 27th, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
394,83.42,,,,,,Arabica,Doi Tung Development Project,Thailand,Doi Tung Development Project,,,,,,,Doi Tung Development Project,4,1 lbs,Specialty Coffee Association,,"April 13th, 2010",Doi Tung Development Project,Peaberry,Completed,,Sample,7.58,7.25,7.5,7.92,7.92,7.42,Sample,10,10,10,7.83,Sample  83.42,,11%,0 full defects,0,,0 full defects,,"April 13th, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
395,83.38,,,,,,Arabica,Grounds for Health Admin,Mexico,,,,016-2729-001-A-LAB-SS2,,900-1200mtr,Nayarit,"Productores de Cafe de El Cuarenteno, S. de P.R. de R.L",6,6,Specialty Coffee Association,January Through April,"May 26th, 2010",Grounds for Health Admin,,Completed,,Sample,7.25,7.88,7.38,7.63,7.5,8.75,Sample,9,10,10,8,Sample  83.38,,9%,2 full defects,0,,4 full defects,,"May 26th, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
396,83.33,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,Various,68-0054,Bonanza-Armenia,68-0054,Exportadora de Cafe Condor S.A,1650,Huila,various,275,70 kg,Almacafé,2016,"November 8th, 2016",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,7.75,7.5,7.75,7.58,7.58,7.58,Sample,10,10,10,7.58,Sample  83.33,,0%,0 full defects,1,,0 full defects,,"November 8th, 2017",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
397,83.33,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-3729,Bachue,3-37-3729,Racafe & Cia S.C.A,,Guayatá,,130,70 kg,Almacafé,2016,"June 15th, 2016",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.67,7.58,7.58,7.42,7.67,7.75,Sample,10,10,10,7.67,Sample  83.33,,0%,0 full defects,0,Blue-Green,0 full defects,,"June 15th, 2017",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
